Title	Artist	Genre
What A Friend We Have In Jesus	Dalton	Gospel & Religious
What A Friend We Have In Jesus	Guideposts	Books & Spoken
What A Friend We Have In Jesus	The John Tesh Project	Gospel & Religious
What A Wonderful Beginning	Kenny Rogers	Holiday
What a Wonderful World	José Carreras, Natalie Cole & Plácido Domingo	Holiday
What Child Is This	Charlotte Church	Holiday
What Child Is This?	David Lanz	Holiday
What Child is This?	José Carreras, Natalie Cole & Plácido Domingo	Holiday
What Child Is This?	Martina McBride	Holiday
What Is Love	Haddaway	Pop
What Is Love		Rock
What Is Love (Rapino Brothers Mix)	Haddaway	Pop
What Kind Of Fool	Barbra Streisand & Barry Gibb	Easy Listening
What Now My Love	Willie Nelson	Country
What Part Of No	Lorrie Morgan	Country
What You Did For Me	Nikki Leonti	Gospel & Religious
When A Child Is Born	Charlotte Church	Holiday
When All Is Said And Done	ABBA	Pop
When I Fall In Love	Anne Murray	Country
When I Look Into Your Holiness	The Maranatha! Singers	Gospel & Religious
When My Blue Moon Turns To Gold Again	Elvis Presley	Country
When She Moves	Soul Ballet	Jazz
When The Money's Gone	Cher	Electronica/Dance
When We Were The New Boys	Rod Stewart	Rock
When Will I See You Again	John Adorney	Jazz
When You Tell Me That You Love Me	Julio Iglesias	Latin
Whenever, Wherever	Shakira	Latin
Where Do Broken Hearts Go	Whitney Houston	R&B
Whipped Cream	Herb Alpert & The Tijuana Brass	Easy Listening
Whispers In The Dark	Yanni	New Age
White Boots	The Vaughan Brothers	Blues
White Christmas	Larry Carlton	Holiday
White Christmas	Placido Domingo & Diana Ross	Holiday
White Christmas	Richard Clayderman	Holiday
White Christmas	Various Artists	Holiday
A White Sport Coat (And A Pink Carnation)	Marty Robbins	Easy Listening
White Wedding	Billy Idol	Rock
A Whiter Shade of Pale	David Lanz	New Age
Whiter Than Snow	Guideposts	Books & Spoken
Whitewash County	Elton John	Pop
Who's That Lady	Peter White	Jazz
Why! ...	Enigma	New Age
Why! ...		Rock
Wie Ein Leuchtturm	Marianne Rosenberg	Unclassifiable
Wiegenlied	Plácido Domingo	Holiday
Wild Child	Enya	New Age
Wild Montana Skies	John Denver	Rock
Wild World	Shahin & Sepehr	World
Wild World (Remix)	Shahin & Sepehr	New Age
Will You Still Love Me Tomorrow	Peter White	Jazz
The Wind Beneath My Wings	Kenny Rogers	Country
Wind Beneath My Wings	Richard Clayderman	Easy Listening
Wings Of A Dove	Dolly Parton, Loretta Lynn & Tammy Wynette	Country
The Winner Takes It All	ABBA	Pop
Winter Wonderland	Amy Grant	Holiday
Winter Wonderland	Charlotte Church	Holiday
Winter Wonderland	Larry Carlton	Holiday
Winter Wonderland	Natalie Cole	Holiday
Wir fahren mit der Bimmelbahn	Fischer Chöre	Holiday
Wishing You Were Somehow Here Again	Sarah Brightman	Pop
Wishing You Were Somehow Here Again	Sarah Brightman	Soundtrack
With You In Mind	Marianne Faithfull	Rock
Without Question	Elton John	Soundtrack
Without You	Harry Nilsson	Easy Listening
A Woman's Needs (with Elton John)	Tammy Wynette	Country
Wonderland	Paul Hardcastle	Jazz
A Word In Private	Yanni	New Age
Words By Heart	Billy Ray Cyrus	Country
Worhty, You Ar Worthy	Don Moen	Gospel & Religious
Worked It Out Wrong	Chris Isaak	Rock
Worlds Apart	Ronan Hardiman	World
Wouldn't That Be Fine	Nanci Griffith	Folk
Written In The Stars	Elton John & LeAnn Rimes	Soundtrack
Wrong		Rock
Wrong (Todd Terry Remix)		Rock
Wünsche und Gedanken	Fischer Chöre	Holiday
Xanadu	Olivia Newton-John & Electric Light Orchestra	Pop
Y.M.C.A.	Groove Criminals	Electronica/Dance
Y.M.C.A.	The Village People	Pop
Yasmine	Shahin & Sepehr	New Age
Yellow Roses	Dolly Parton	Country
Yes (HQ2 Big Room Club Mix)	Amber	Electronica/Dance
Yesterday	LeAnn Rimes	Country
Yesterday	Marianne Faithfull	Rock
Yesterday's Songs	Neil Diamond	Pop
Yira, Yira	Julio Iglesias	Latin
You Are My All In All	Dennis Jernigan	Gospel & Religious
You Are My Hiding Place	The Maranatha! Singers	Gospel & Religious
You Are So Beautiful	Kenny Rogers	Country
You Asked Me To	Elvis Presley	Country
You Belong To Me	Anne Murray	Country
You Belong to Me	Jo Stafford	Easy Listening
You Don't Bring Me Flowers	Neil Diamond,Barbra Streisand	Easy Listening
You Don't Bring Me Flowers	Neil Diamond,Barbra Streisand	Pop
You Don't Know	Cyndi Lauper	Rock
You Keep Me Hanging On		Rock
You Know My Heart	3rd Force	New Age
You Light Up My Life	Kenny Rogers	Country
You Make My Dreams	Hall & Oates	Rock
You Might Think	The Cars	Rock
You Might Think	The Cars	Rock
You Only Live Once	Yanni	New Age
You Should Be Dancing	Groove Criminals	Electronica/Dance
You're In My Heart (The Final Acclaim)	Rod Stewart	Rock
You're My Everything	Santa Esmeralda	Pop
You're Still You	Josh Groban	Classical
You're Worthy Of My Praise	David Ruis	Gospel & Religious
Young Turks	Rod Stewart	Rock
Your Love	Jim Brickman	New Age
Your Love	Jim Brickman Feat. Michelle Wright	New Age
Your Song	Elton John	Pop
Your Song	Elton John	Easy Listening
Zorba The Greek	Herb Alpert & The Tijuana Brass	Easy Listening
1000 & 1 Nights	Shahin & Sepehr	New Age
